
VALID | LP191382741SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-02-16 07:06:00
VALID | LP194431910SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-03-24 08:20:00
VALID | LP190643026SG : Final delivery,Delivered to: ALEXANDRA/ADDRESSEE  : China : Thailand : 2021-02-03 11:32:00
VALID | LP197326969SG : Inbound in sorting center  : China : Malaysia : 2021-04-08 13:38:07
VALID | LP191425186SG : Final delivery,Delivered to: SOLYNA  : China : Kampuchea : 2021-02-17 09:56:00
VALID | LP193441558SG : Delivered  : China : Vietnam : 2021-03-20 11:16:00
VALID | LP190925818SG : [広島県,737-8799]お届け済み  : China : Japan : 2021-02-04 11:25:00
VALID | LP192535934SG : [TOTTORI,683-8799]Final delivery  : China : Japan : 2021-02-24 15:04:00
VALID | LP193039843SG : Send item out for physical delivery  : China : Indonesia : 2021-03-15 09:42:00
VALID | LP196743380SG : -Despatched to OverSeas Postal Admin (From SG/SIN to ID/JKT)  : China : Indonesia : 2021-04-04 08:27:08
VALID | LP196866344SG : -Despatched to OverSeas Postal Admin (From SG/SIN to TH/BKK)  : China : Thailand : 2021-04-08 12:07:41
VALID | LP197604795SG : Inbound in sorting center  : China : New Zealand : 2021-04-08 13:11:59
VALID | LP196777131SG : -Arrival at Destination Postal Admin (From SG/SIN to KH)  : China : Kampuchea : 2021-04-08 08:47:00
VALID | LP190292687SG : Item delivered   : China : Indonesia : 2021-02-03 09:07:00
VALID | LP194736015SG : Delivered  : China : Vietnam : 2021-04-01 11:02:00
VALID | LP194979989SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-03-26 10:36:00
VALID | LP195853225SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-04-05 09:12:00
VALID | LP193811766SG : Information Received  : China : Thailand : 2021-03-31 15:00:00
VALID | LP194733481SG : Delivered  : China : South korea : 2021-03-24 11:20:00
VALID | LP197225792SG : Inbound in sorting center  : China : Thailand : 2021-04-07 18:55:43
VALID | LP190895373SG : Item out for delivery   : China : Malaysia : 2021-02-03 08:44:05
VALID | LP192896487SG : [山形県,994-8799]お届け済み  : China : Japan : 2021-03-04 11:29:00
VALID | LP197231268SG : Hand over to airline.  : China : Indonesia : 2021-04-07 23:30:59
VALID | LP192840307SG : Delivered  : China : China : 2021-03-01 14:37:00
VALID | LP191266578SG : Item delivered to   mdrop  : China : Malaysia : 2021-02-05 09:55:11
VALID | LP194114611SG : Delivered  : China : China : 2021-03-10 13:05:00
VALID | LP196347715SG : Transit to Destination Processing Facility  : China : Malaysia : 2021-04-02 09:55:00
VALID | LP195886957SG : Product Delivered (Country code: KR)  : China : South korea : 2021-03-31 14:01:00
VALID | LP194534769SG : Item out for delivery   : China : Malaysia : 2021-03-23 09:55:59
VALID | LP193720495SG : Final delivery,Delivered to: /SECURITY GUARD  : China : Thailand : 2021-03-20 10:44:00
VALID | LP196870074SG : -Despatched to OverSeas Postal Admin (From SG/SIN to ID/JKT)  : China : Indonesia : 2021-04-05 07:05:26
VALID | LP191519087SG : Delivered  : China : Indonesia : 2021-02-17 10:18:00
VALID | LP195895256SG : Item delivered   : China : Japan : 2021-04-06 19:44:00
VALID | LP194572705SG : Final delivery,Delivered to: SOVATY  : China : Kampuchea : 2021-03-26 14:16:00
VALID | LP195558174SG : Final delivery,Delivered to: /GUARD  : China : Thailand : 2021-03-30 09:27:00
VALID | LP193517985SG : -Send item out for physical delivery (Country: ID)  : China : Indonesia : 2021-03-19 14:14:00
VALID | LP191498299SG : Delivered  : China : Indonesia : 2021-02-21 11:15:00
VALID | LP191876375SG : Final delivery,Delivered to: MOM SOTHEA  : China : Kampuchea : 2021-02-17 08:58:00
VALID | LP193030844SG : Delivered  : China : Indonesia : 2021-03-25 10:42:00
VALID | LP195352365SG : Product Delivered (Country code: TH)  : China : Thailand : 2021-03-25 20:09:00
VALID | LP191115723SG : Shipment cancelled  : China : China : 2021-02-03 12:16:27
VALID | LP190687455SG : Send item out for physical delivery  : China : Indonesia : 2021-02-18 07:29:00
VALID | LP196765990SG : -Despatched to OverSeas Postal Admin (From SG/SIN to KR/SEL)  : China : South korea : 2021-04-04 05:24:39
VALID | LP192047327SG : Delivered  : China : South korea : 2021-02-16 10:48:00
VALID | LP196272840SG : Final delivery,Delivered to: /ADDRESSEE  : China : Thailand : 2021-04-05 10:02:00
VALID | LP193515335SG : Item delivered to   mdrop  : China : Malaysia : 2021-03-08 11:07:16
VALID | LP196010543SG : Delivered  : China : Japan : 2021-03-29 16:47:00
VALID | LP197128504SG : -Despatched to OverSeas Postal Admin (From SG/SIN to MY/KUL)  : China : Malaysia : 2021-04-06 05:23:32
VALID | LP193980711SG : Shipment cancelled  : China : Malaysia : 2021-03-04 00:44:06
VALID | LP190798663SG : [群馬県,370-8799]窓口でお渡し  : China : Japan : 2021-01-30 12:58:00
VALID | LP193513498SG : Final delivery,Delivered to: /GUARD  : China : Thailand : 2021-03-09 10:57:00
VALID | LP196468838SG : -Despatched to OverSeas Postal Admin (From SG/SIN to KH/PNH)  : China : Kampuchea : 2021-04-02 21:01:48
VALID | LP196188311SG : Delivered  : China : South korea : 2021-04-05 12:00:00
VALID | LP191445795SG : Product Delivered (Country code: ID)  : China : Indonesia : 2021-02-22 15:50:00
VALID | LP194820035SG : Final delivery,Delivered to: /ADDRESSEE  : China : Thailand : 2021-03-22 09:53:00
VALID | LP190842605SG : Final delivery,Delivered to: BUT ARTUR/ADDRESSEE  : China : Thailand : 2021-02-13 14:41:00
VALID | LP192615884SG : Final delivery,Delivered to: /GUARD  : China : Thailand : 2021-03-04 11:56:00
VALID | LP195480815SG : Delivered  : China : China : 2021-03-25 10:47:00
VALID | LP195887158SG : Final delivery,Delivered to: /REPRESENTATIVE  : China : Thailand : 2021-03-30 10:42:00
VALID | LP192116464SG : [SAITAMA,331-8799]Final delivery  : China : Japan : 2021-02-15 13:15:00
VALID | LP191415351SG : Shipment cancelled  : China : Indonesia : 2021-02-05 09:25:48
VALID | LP190812705SG : [KANAGAWA,244-8799]Final delivery  : China : Japan : 2021-02-03 10:31:00
VALID | LP192663831SG : Item delivered to   Faezlyn   : China : Malaysia : 2021-03-02 11:18:52
VALID | LP195519842SG : Shipment cancelled  : China : Indonesia : 2021-03-25 00:34:36
VALID | LP192371100SG : Delivered (731025: BCP Hóc Môn B - Hồ Chí Minh )  : China : Vietnam : 2021-03-07 10:43:00
VALID | LP194626496SG : -Hold item at point of delivery (Country: ID)  : China : Indonesia : 2021-03-31 04:16:00
VALID | LP193146666SG : Product Delivered (Country code: TH)  : China : Thailand : 2021-03-04 11:08:00
